case_id,split,family,base_seed,method,model_seed,projection_iterations,paired_call_budget,truth_used_by_candidate,candidate_deployable,per_case_reprojection_ratio_limit,exact_camera_block_setup_forward_equivalents,reprojection_feasible,feasible_alpha_lower,feasible_alpha_upper,truth_oracle_alpha,field_relative_l2,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,field_gain,h1_gain,reprojection_ratio_to_matched_cgls,field_harm
17ba335821b1e0d5a1aa,development,smooth_no_interface,2141,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9989221937477321,1.0,0.9989221937477321,0.2995685361476836,0.5903418954301818,0.0003071387056417258,0.015805523267528637,0.4942564341321783,0.4152053575872491,1.1000000000754684,0
6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,43,9,23,True,False,1.1,1001,0,,,,,,,,,,,
6be92a896230a00c27bc,development,single_interface,2141,jacru_m2,43,10,24,True,False,1.1,1001,0,,,,,,,,,,,
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9979436840234387,1.0,0.9979436840234387,0.2648884642717979,0.542946235802409,0.0006631763041978499,0.02680907234650722,0.5123473663846394,0.44388138338645644,1.099999999986102,0
2f2ee4ffd95bd30b9d41,development,smooth_no_interface,2153,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9974259930580676,1.0,0.9974259930580676,0.26485742301978055,0.5429323306183629,0.0005787328503091971,0.026836508031026197,0.5092649094737495,0.4439005414335743,1.1000000000076897,0
317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9971686542006601,1.0,0.9971686542006601,0.45337204100378364,0.7749994941490965,0.0017473603348727908,0.019288665482889183,0.2941581444500782,0.20952400966382356,1.099999999996879,0
317ac465ce89a727ceb8,development,single_interface,2153,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9962136210301921,1.0,0.9962136210301921,0.4532051575637222,0.7747402914151541,0.0013890080951866402,0.019558777562316235,0.2910335658327886,0.21054024979927857,1.0999999999951493,0
80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9990648054222132,1.0,0.9990648054222132,0.2677541194348856,0.5457448444244213,0.0004340454957432607,0.025313650681549067,0.5244701628304523,0.4447508903251686,1.0999999999831134,0
80f83d2b9da59c138e54,development,smooth_no_interface,2161,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9987520573820672,1.0,0.9987520573820672,0.2677209326574292,0.5457273481146544,0.0003651326940109542,0.025387227942145624,0.5208454312981572,0.4441618244475974,1.100000000004851,0
817ed62303fd3253a425,development,single_interface,2161,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9949558077604148,1.0,0.9949558077604148,0.4060485852959033,0.7023961170570591,0.001527789205962021,0.018868742704587563,0.3972106888279654,0.3438130347177254,1.1000000000051864,0
817ed62303fd3253a425,development,single_interface,2161,jacru_m2,43,10,24,True,False,1.1,1001,1,0.9955828991923309,1.0,0.9955828991923309,0.40606230000171056,0.7024009356773924,0.0012552015484815337,0.018796147732969018,0.39494624891912733,0.34466159473309366,1.100000000001606,0
c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9959092410833864,1.0,0.9959092410833864,0.3121428806914192,0.6371237760571508,0.0008758674240808028,0.016438020022731967,0.47620982822144664,0.4139890575382479,1.0999999999999972,0
c12970cf110f1be99b82,ood,smooth_no_interface,3109,jacru_m2,43,10,24,True,False,1.1,1001,1,0.996549281560524,1.0,0.996549281560524,0.31216617527480767,0.6371818985605905,0.0006929771283954516,0.01643176344792993,0.4738420052004308,0.41541573919328667,1.0999999999928705,0
c574fbda17385d89b138,ood,single_interface,3109,jacru_m2,43,9,23,True,False,1.1,1001,1,0.9940378541012816,1.0,0.9940378541012816,0.4620184844454326,0.7830467686272277,0.0015266237083659008,0.025085048462495773,0.32917872647725244,0.2580542036084286,1.1000000000034542,0
