base_seed,family,mismatch_severity,correction_candidate,residual_amplitude,loco_score,field_relative_l2
101,smooth_plume,1.0,1.5,-0.5,0.08620848632791095,0.5492800743027363
101,smooth_plume,1.0,2.0,-1.0,0.09548412234977116,0.5879807896197107
101,smooth_plume,1.0,2.5,-1.5,0.11113057758569987,0.6449457219863632
101,wrinkled_density_interface,1.0,-0.5,1.5,0.2145171327972356,0.6782432203570166
101,wrinkled_density_interface,1.0,0.0,1.0,0.19517034557877191,0.6547981910135915
101,wrinkled_density_interface,1.0,0.5,0.5,0.17692105319802465,0.6361308573361387
101,wrinkled_density_interface,1.0,1.0,0.0,0.16171068939076574,0.6291802286671925
101,wrinkled_density_interface,1.0,1.5,-0.5,0.15550006730178315,0.6363318495572781
101,wrinkled_density_interface,1.0,2.0,-1.0,0.16359569115770922,0.6615825879953506
101,wrinkled_density_interface,1.0,2.5,-1.5,0.18366352532197225,0.698211823068856
101,shock_expansion_pair,1.0,-0.5,1.5,0.16038464626971496,0.6142802454998642
101,shock_expansion_pair,1.0,0.0,1.0,0.1523031896384576,0.603775335912293
101,shock_expansion_pair,1.0,0.5,0.5,0.14637534703191424,0.5946875767834483
101,shock_expansion_pair,1.0,1.0,0.0,0.14379942480457497,0.5915136311734883
101,shock_expansion_pair,1.0,1.5,-0.5,0.14352635557742482,0.5993485034175423
101,shock_expansion_pair,1.0,2.0,-1.0,0.14426570103539083,0.6243732966521219
101,shock_expansion_pair,1.0,2.5,-1.5,0.15003800461483965,0.657400209988024
101,smooth_plume,2.0,-0.5,2.5,0.12823811586562603,0.6165501603527712
101,smooth_plume,2.0,0.0,2.0,0.11269159286555248,0.5901941489489183
101,smooth_plume,2.0,0.5,1.5,0.10019595038309974,0.5696155644702103
101,smooth_plume,2.0,1.0,1.0,0.0909853728158128,0.5537613388057987
101,smooth_plume,2.0,1.5,0.5,0.08492800547694614,0.5375556812712904
101,smooth_plume,2.0,2.0,0.0,0.08257420231590935,0.5305396241359848
101,smooth_plume,2.0,2.5,-0.5,0.08622162432377672,0.5494793968657472
101,wrinkled_density_interface,2.0,-0.5,2.5,0.2584545958039301,0.7277266921907978
101,wrinkled_density_interface,2.0,0.0,2.0,0.23550085882537633,0.7027492413121786
101,wrinkled_density_interface,2.0,0.5,1.5,0.21452528752508407,0.6783474701257983
101,wrinkled_density_interface,2.0,1.0,1.0,0.19517593098558372,0.6548759812211785
101,wrinkled_density_interface,2.0,1.5,0.5,0.17692426638814698,0.6361771481870573
101,wrinkled_density_interface,2.0,2.0,0.0,0.1617113354656844,0.6292106092816702
101,wrinkled_density_interface,2.0,2.5,-0.5,0.1554998736918377,0.6363892973046806
101,shock_expansion_pair,2.0,-0.5,2.5,0.18258468527825708,0.6386377953084709
101,shock_expansion_pair,2.0,0.0,2.0,0.17022592445548365,0.6259422338454882
101,shock_expansion_pair,2.0,0.5,1.5,0.16038505194913535,0.6143145142505193
101,shock_expansion_pair,2.0,1.0,1.0,0.15230347196449556,0.6037992421453979
101,shock_expansion_pair,2.0,1.5,0.5,0.14637495207189302,0.5947004901970208
101,shock_expansion_pair,2.0,2.0,0.0,0.14379948528492717,0.5915254114410164
101,shock_expansion_pair,2.0,2.5,-0.5,0.14352766137557346,0.5993820294791667
211,smooth_plume,0.0,-0.5,0.5,0.07593060452914119,0.7039236645401354
211,smooth_plume,0.0,0.0,0.0,0.06920821178088235,0.6733044324928485
211,smooth_plume,0.0,0.5,-0.5,0.08212738051494291,0.6922830037335393
211,smooth_plume,0.0,1.0,-1.0,0.10825142268037961,0.7461922160236085
211,smooth_plume,0.0,1.5,-1.5,0.1405198577124834,0.8111223690079449
211,smooth_plume,0.0,2.0,-2.0,0.17509200683499904,0.8722653593110224
211,smooth_plume,0.0,2.5,-2.5,0.2118900877672297,0.9303929033244364
211,wrinkled_density_interface,0.0,-0.5,0.5,0.15571261748742224,0.6841920481609396
211,wrinkled_density_interface,0.0,0.0,0.0,0.15282874028600318,0.6641610760615045
211,wrinkled_density_interface,0.0,0.5,-0.5,0.16696631714549945,0.6607147243459353
211,wrinkled_density_interface,0.0,1.0,-1.0,0.18807236430443564,0.6694699144382806
211,wrinkled_density_interface,0.0,1.5,-1.5,0.21236586083503328,0.681222231318608
211,wrinkled_density_interface,0.0,2.0,-2.0,0.2391586809991135,0.6928968691289631
211,wrinkled_density_interface,0.0,2.5,-2.5,0.2682584950898297,0.7043821529111701
211,shock_expansion_pair,0.0,-0.5,0.5,0.1298414652957043,0.6446958445291482
211,shock_expansion_pair,0.0,0.0,0.0,0.12979101889778796,0.6367027605831819
211,shock_expansion_pair,0.0,0.5,-0.5,0.13546896941833642,0.6307272487113458
211,shock_expansion_pair,0.0,1.0,-1.0,0.14490057838813383,0.6310632557356078
