stratum,rig,K,method,hidden_action_relative_l2,gradient_cosine_median,gradient_relative_l2_median,query_count,activation,dot_defect_max
in_class,6,4,full_srco,0.0006927612368192774,0.9999989517775405,0.0014877715505283253,4,,
in_class,6,4,df_gated_srco,0.00044884674267924105,0.9999994733504336,0.0010513636132571617,4,0.16072893525996523,5.1803194502052125e-15
in_class,6,8,nominal,0.09360529209531457,0.9734077171593136,0.233919420985561,8,,
in_class,6,8,secant,0.0873230047612738,0.9776304192517148,0.21302003154973242,8,,
in_class,6,8,channel_gate,0.00031734016938407057,0.999999735437948,0.0007300384282531826,8,,
in_class,6,8,full_srco,0.0008120659842803175,0.9999985448632774,0.0017527365202020056,8,,
in_class,6,8,df_gated_srco,0.0003182942051886412,0.999999738482874,0.0007265389040222982,8,0.03918913033207494,1.1960163284762525e-14
in_class,6,16,nominal,0.09360529209531457,0.9790702707924296,0.2049621974070307,16,,
in_class,6,16,secant,0.08036341285398502,0.9854845663991302,0.1794209836102581,16,,
in_class,6,16,channel_gate,0.00028549367616747775,0.999999797423468,0.0006444391131504236,16,,
in_class,6,16,full_srco,0.0011917885876036112,0.9999969017408149,0.002498756934096393,16,,
in_class,6,16,df_gated_srco,0.00028549367616747775,0.999999797423468,0.0006444391131504236,16,0.0,7.048357291696381e-14
in_class,6,32,nominal,0.09360529209531457,0.9723770106316365,0.24064451529124314,32,,
in_class,6,32,secant,0.06464588143129674,0.9866740063894828,0.16854079026599045,32,,
in_class,6,32,channel_gate,0.0001478391445976994,0.9999999371910145,0.0003561647098183654,32,,
in_class,6,32,full_srco,0.0019857204151354627,0.9999906530467866,0.004491334960203415,32,,
in_class,6,32,df_gated_srco,0.0001478391445976994,0.9999999371910145,0.0003561647098183654,32,0.0,2.5917504705741853e-15
in_class,7,4,nominal,0.09973174188107688,0.971754606379152,0.23616721333764787,4,,
in_class,7,4,secant,0.0968030247424828,0.9743523673720043,0.22660441684802912,4,,
in_class,7,4,channel_gate,0.0005874655469466932,0.9999991237463148,0.0013567741028083999,4,,
in_class,7,4,full_srco,0.0007528782867109225,0.9999983905067893,0.0017988638281850183,4,,
in_class,7,4,df_gated_srco,0.0005874655469466932,0.9999991237463148,0.0013567741028083999,4,0.0,9.801949080395488e-15
in_class,7,8,nominal,0.09973174188107688,0.9713674424857089,0.24276510860875777,8,,
in_class,7,8,secant,0.0930501966056006,0.9765943255338401,0.21894963813239693,8,,
in_class,7,8,channel_gate,0.0004402113875883685,0.9999994790040292,0.0010328249290662492,8,,
in_class,7,8,full_srco,0.0008888794227913118,0.9999977385323975,0.0021417776693680706,8,,
in_class,7,8,df_gated_srco,0.0004403136993489485,0.9999994790461696,0.0010327817519094483,8,0.0059907611856300225,3.8632085355389706e-14
in_class,7,16,nominal,0.09973174188107688,0.9674660861847375,0.2548651528566813,16,,
in_class,7,16,secant,0.08638707063726365,0.97806319803804,0.21184808964448404,16,,
