feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
17,22,1,0,0,0.0004537042892417698
17,23,1,0,1,0.0011034363578005426
17,24,1,1,-1,0.002638653317595881
17,25,1,1,0,-0.0009469403842589016
17,26,1,1,1,0.0025856038778879088
18,0,-1,-1,-1,0.0002555366165051392
18,1,-1,-1,0,7.585262506344515e-05
18,2,-1,-1,1,0.001088207087400954
18,3,-1,0,-1,0.00018590168678029687
18,4,-1,0,0,-1.0942736729680945e-05
18,5,-1,0,1,-0.00013101394208001212
18,6,-1,1,-1,-0.001323415950173052
18,7,-1,1,0,0.00013783463332353157
18,8,-1,1,1,-0.0005983543463576362
18,9,0,-1,-1,-0.0017822788928379
18,10,0,-1,0,0.0035171613942617205
18,11,0,-1,1,0.0005471613955160471
18,12,0,0,-1,-0.0049685313623115705
18,13,0,0,0,0.00396560012101963
18,14,0,0,1,-0.0034877385486409493
18,15,0,1,-1,-0.004294162767594577
18,16,0,1,0,0.0058580970178925005
18,17,0,1,1,0.00046034155229730345
18,18,1,-1,-1,0.0004883541069900742
18,19,1,-1,0,0.0006038396118812563
18,20,1,-1,1,0.0008186249231963402
18,21,1,0,-1,-0.0005565328929814489
18,22,1,0,0,-0.000306410352468319
18,23,1,0,1,-0.0008906598336417108
18,24,1,1,-1,-0.0008120341512404443
18,25,1,1,0,0.0011424990110411894
18,26,1,1,1,-0.0010812746827075146
19,0,-1,-1,-1,-8.086197958382166e-05
19,1,-1,-1,0,-0.00012491515864691534
19,2,-1,-1,1,-0.00016048756343972598
19,3,-1,0,-1,-5.963050428003475e-05
19,4,-1,0,0,-0.00017437232240076736
19,5,-1,0,1,8.127283889994448e-05
19,6,-1,1,-1,-8.803083193931809e-05
19,7,-1,1,0,-0.00016715772495240786
19,8,-1,1,1,-5.634691808118952e-05
19,9,0,-1,-1,-0.0003496811654180066
19,10,0,-1,0,5.1741617098764325e-05
19,11,0,-1,1,-0.0004704346221883521
19,12,0,0,-1,0.0009565369135538081
19,13,0,0,0,-0.0005648867834214823
19,14,0,0,1,0.0014825082775964111
19,15,0,1,-1,-0.0009427836931500783
19,16,0,1,0,-0.00012784186127322042
