field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-c:tilted_flame_brush:7,fresh-budget-rig-c,tilted_flame_brush,3,-0.011833017155289616,0.16119989258739753,0.1748973506215178
fresh-budget-rig-c:tilted_flame_brush:8,fresh-budget-rig-c,tilted_flame_brush,3,0.014804133656265539,0.15657929055172248,0.13966694934983448
fresh-budget-rig-c:tilted_flame_brush:9,fresh-budget-rig-c,tilted_flame_brush,3,0.015283358638380484,0.19610575414045472,0.16262941905315886
fresh-budget-rig-c:tilted_flame_brush:10,fresh-budget-rig-c,tilted_flame_brush,3,0.011247626547880474,0.11976394998216477,0.08429735420916795
fresh-budget-rig-c:tilted_flame_brush:11,fresh-budget-rig-c,tilted_flame_brush,3,0.00010024894526328154,0.20075752761272136,0.13415716615164575
fresh-budget-rig-c:tilted_flame_brush:12,fresh-budget-rig-c,tilted_flame_brush,3,-0.006774636377755661,0.18781567111781305,0.16640342229773275
fresh-budget-rig-c:tilted_flame_brush:13,fresh-budget-rig-c,tilted_flame_brush,3,-0.01304019582149496,0.12650654415946683,0.1334032465568431
fresh-budget-rig-c:tilted_flame_brush:14,fresh-budget-rig-c,tilted_flame_brush,3,-0.01032193586339658,0.11700663573441039,0.1309356020875333
fresh-budget-rig-c:tilted_flame_brush:15,fresh-budget-rig-c,tilted_flame_brush,3,0.0006490942033220426,0.13133613343683548,0.1371084521814766
fresh-budget-rig-c:tilted_flame_brush:16,fresh-budget-rig-c,tilted_flame_brush,3,-0.000824428178369141,0.13934249657905617,0.1182507213700501
fresh-budget-rig-c:tilted_flame_brush:17,fresh-budget-rig-c,tilted_flame_brush,3,-0.01274967026276319,0.12799822100724156,0.13343490222982868
fresh-budget-rig-c:tilted_flame_brush:18,fresh-budget-rig-c,tilted_flame_brush,3,0.007863776217731933,0.15017406623137208,0.12624931066977585
fresh-budget-rig-c:tilted_flame_brush:19,fresh-budget-rig-c,tilted_flame_brush,3,-0.011609480920503623,0.15650085500555166,0.1517747734702335
fresh-budget-rig-c:pulsed_toroidal_plume:0,fresh-budget-rig-c,pulsed_toroidal_plume,3,0.011295813373288999,0.07965417205781822,0.0613078082273395
fresh-budget-rig-c:pulsed_toroidal_plume:1,fresh-budget-rig-c,pulsed_toroidal_plume,3,-0.017172953716274586,-0.04589719364656708,0.008277129542009654
