base_seed,ridge_alpha,camera_subset,estimated_raw_logdet,estimated_regularized_profile_logdet,estimated_raw_rank,estimated_regularized_profile_rank,teacher_raw_logdet,teacher_regularized_profile_logdet,teacher_data_only_relative_rank,teacher_raw_rank,teacher_regularized_profile_rank,field_operator_rank,field_operator_row_count,dual_svd_relative_difference
101,0.0001,0;2;3,29.368076688192225,0.3989265742172525,5,5,25.218365127340064,-3.075238433422796,0,5,5,150,150,2.793558490859589e-13
101,0.0001,0;2;4,29.781851542168784,-13.12068265504857,5,5,26.69649511988065,-18.282857706633596,0,5,5,150,150,1.2347320243756739e-15
101,0.0001,0;2;5,30.789852269493593,-9.775419959275634,5,5,26.060816895027653,-15.045646542761096,0,5,5,150,150,5.752603462763121e-15
101,0.0001,0;3;4,28.724296842884037,0.31385900380735543,5,5,24.999854737889795,-3.3064414489532306,0,5,5,150,150,3.527904120906197e-13
101,0.0001,0;3;5,30.065787024954147,0.725493421849517,5,5,24.902823360344264,-2.834227142703168,0,5,5,150,150,2.498781685580447e-13
101,0.0001,0;4;5,30.631042683027964,-11.78935289569426,5,5,26.661324503095365,-16.987758293401768,0,5,5,150,150,2.7912023305592957e-15
101,0.0001,1;2;3,30.555531344889232,-10.880618411331305,5,5,26.86185488400493,-15.326459616559745,0,5,5,150,150,6.3957860448839385e-15
101,0.0001,1;2;4,30.883169211310467,-3.087288851765189,5,5,27.996606760526777,-5.057574703524718,0,5,5,150,150,4.71764583183874e-14
101,0.0001,1;2;5,31.60841510904886,-10.129391634658454,5,5,27.42318449626284,-14.709668806086794,0,5,5,150,150,6.91171810021157e-15
101,0.0001,1;3;4,30.182650448933572,-3.1081078816327494,5,5,26.977403335282716,-5.971047295905389,0,5,5,150,150,2.992526794568312e-14
101,0.0001,1;3;5,31.079428804617237,-12.317953916168914,5,5,26.60043442336628,-17.090307461549845,0,5,5,150,150,3.957762847415496e-15
101,0.0001,1;4;5,31.49904571940263,-3.0327186454190587,5,5,27.93581301035919,-5.075678573085936,0,5,5,150,150,5.0109363730428907e-14
101,0.0001,2;3;4,29.997925580738897,-10.36182850563941,5,5,26.819129672280027,-14.36060852626386,0,5,5,150,150,9.368044215731826e-15
101,0.0001,2;3;5,30.8554277142647,-9.322761259508043,5,5,26.186162250657066,-14.231277153538574,0,5,5,150,150,3.832428302452128e-15
101,0.0001,2;4;5,31.236568154847674,-10.538875505455211,5,5,27.55344534483754,-14.717374615566712,0,5,5,150,150,4.3339486499080555e-15
101,0.0001,3;4;5,30.719486170077335,-10.640096005636467,5,5,26.748194149836582,-14.805420384753766,0,5,5,150,150,2.230520807237622e-15
101,0.002,0;1;2,30.43979241253289,4.085161081495841,5,5,26.709152756672804,-0.32693314046703636,0,5,5,150,150,2.105744775460683e-15
101,0.002,0;1;3,29.353632051694127,12.393697798837906,5,5,25.088026753898614,8.408212374725421,0,5,5,150,150,5.25668369463716e-14
101,0.002,0;1;4,30.03945127485258,11.189281408112933,5,5,26.851759072450232,8.323188446683707,0,5,5,150,150,3.266633996174022e-14
101,0.002,0;1;5,31.033139323840977,4.359335823808455,5,5,26.454842230326932,-0.2876685176571643,0,5,5,150,150,6.6215597049773245e-15
101,0.002,0;2;3,29.368076688192225,12.495728982613969,5,5,25.218365127340064,8.782211902615584,0,5,5,150,150,3.91710826357823e-14
101,0.002,0;2;4,29.781851542168784,1.6787077317767531,5,5,26.69649511988065,-3.4192285735106163,0,5,5,150,150,1.7715893642476795e-15
101,0.002,0;2;5,30.789852269493593,4.991587965907934,5,5,26.060816895027653,-0.2619897374875473,0,5,5,150,150,5.693407077240108e-15
101,0.002,0;3;4,28.724296842884037,12.339034687257682,5,5,24.999854737889795,8.413746698785484,0,5,5,150,150,4.655979697430511e-14
101,0.002,0;3;5,30.065787024954147,12.675514247233965,5,5,24.902823360344264,8.85928470311328,0,5,5,150,150,3.8674345822764905e-14
101,0.002,0;4;5,30.631042683027964,3.019117838575328,5,5,26.661324503095365,-2.1365861181582084,0,5,5,150,150,2.6114535480104202e-15
101,0.002,1;2;3,30.555531344889232,3.909981580997873,5,5,26.86185488400493,-0.5208109029508519,0,5,5,150,150,2.653418034909649e-15
101,0.002,1;2;4,30.883169211310467,11.039604166456131,5,5,27.996606760526777,8.963455862490097,0,5,5,150,150,2.564397687369013e-14
101,0.002,1;2;5,31.60841510904886,4.69459844934431,5,5,27.42318449626284,0.10424728976854869,0,5,5,150,150,8.645891562004558e-15
101,0.002,1;3;4,30.182650448933572,11.042764613752444,5,5,26.977403335282716,8.03158791152012,0,5,5,150,150,1.9840264400384333e-14
101,0.002,1;3;5,31.079428804617237,2.4827754094502934,5,5,26.60043442336628,-2.254907660241093,0,5,5,150,150,1.6807807103501625e-15
