cluster_id,family,field_harm_over_two_percent_replicate_rate,gradient_harm_over_two_percent_replicate_rate,maximum_active_residual_ratio,maximum_heldout_b_ratio,mean_active_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_ratio,replicate_count,split,worst_replicate_field_gain_percent,worst_replicate_gradient_gain_percent
lockbox_joint_ood-cluster-014,thin_front,0.0,0.0,1.0927187693161402,0.9718531474470564,1.0359140821521797,3.3945658494696005,2.394601993020285,8.518084450964611,0.9469885645330989,4,lockbox_joint_ood,2.2413285091313986,6.594586548992182
lockbox_joint_ood-cluster-015,double_front,0.0,0.0,1.0414364755444647,0.9290390112751193,1.0176006270526312,4.726700707668563,6.031325179853912,8.985978791633517,0.8981099955853588,4,lockbox_joint_ood,3.5690668348485066,7.448849469526017
lockbox_joint_ood-cluster-016,thin_front,0.0,0.0,1.1379972443641553,0.9663362393668239,1.0714697067335504,4.347556659779777,3.8454113282930353,7.494970031017886,0.9213346308524037,4,lockbox_joint_ood,1.9745805147570394,4.671887099802395
lockbox_joint_ood-cluster-017,double_front,0.0,0.0,1.0929146186319534,0.9870609409004657,1.0495671462396523,2.5023076360577265,4.33156800558011,3.851989907347164,0.9764236194189951,4,lockbox_joint_ood,1.5586535834435034,2.5231687554790776
lockbox_joint_ood-cluster-018,thin_front,0.0,0.0,1.0556815715770607,0.9589340581752626,1.0419916005962448,4.215796448882493,2.118211035952311,7.668648797532406,0.9402606165712505,4,lockbox_joint_ood,2.9910628793818055,5.927881929976871
lockbox_joint_ood-cluster-019,double_front,0.0,0.0,1.0207082728290504,0.983317381610872,1.0111894089429685,2.140412432414749,2.4200281515711315,3.8995622612417407,0.9749151554483628,4,lockbox_joint_ood,1.6938580505569476,3.308792190415081
lockbox_joint_ood-cluster-020,thin_front,0.0,0.0,1.0534706972487118,0.9556455870657805,1.048287247868699,2.383476757541656,3.3096238860381066,5.169793837627623,0.9423101478359591,4,lockbox_joint_ood,2.010351481184303,4.236885030704615
lockbox_joint_ood-cluster-021,double_front,0.0,0.0,1.0366507317625748,0.9521397139718848,1.0141235430198845,4.163667586400645,6.499627332072162,8.920031751364345,0.920705654501337,4,lockbox_joint_ood,3.303401280607356,7.608706072213366
lockbox_joint_ood-cluster-022,thin_front,0.0,0.0,1.0965807077759147,0.9763454244597547,1.0573671632456825,4.641566759556621,2.672582389774011,8.27561859957297,0.9241451502403739,4,lockbox_joint_ood,2.1584168277298477,4.79828578660098
lockbox_joint_ood-cluster-023,double_front,0.0,0.0,1.0465031979507338,0.9591732309038207,1.0194559016468412,2.2594703630649082,3.077342073710737,7.775476120895987,0.9530482239886451,4,lockbox_joint_ood,2.0161758599937487,7.266022656854205
